사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
문서번호,DOC_NO,"글이나 기호 따위로 일정한 의사나 관념 또는 사상을 나타낸 것에 부여하는 식별 번호

[영문] Document Number",번호V100,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
문의유형,INQRY_TYPE,문의 유형 코드(DFEAT-034 AC-082). 문의(gov:847)+유형(gov:1943).,,,V,30,,,,,KLID-PT D004 ERD-004 문의.문의유형
반려사유,REJECT_RSN,반려 사유(REJECTED 시 필수),,,V,1000,,,,,KLID-저작도구 ERD-010
발생일시,OCRC_DT,원시 이벤트 발생 시각. RANGE 파티션 키.,,,,,,,,,
발생주소,OCRN_ADDR,"이벤트 발생 주소

[영문] Address",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
발행상태,PBLCN_STTS_CD,발행 상태 — DRAFT 는 REVIEWER 만 조회 가능,,,V,16,,,,,KLID-저작도구 ERD-022
발행여부,PBLCN_YN,"화폐, 증권, 증명서, 인쇄물 등을 만들어 냈는지 여부

[영문] Publication Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
발행일시,PBLCN_DT,최초 발행 일시 — 발행 취소 후 재발행해도 불변,,,D,,,,,,KLID-저작도구 ERD-022
배포설명,DSTRB_EXPLN,"데이터 셋 배포 설명

[영문] Distribution Explain",내용V4000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
배포유형,DSTRB_TYPE,데이터마트/모델 배포 작업의 배포 대상 유형 구분 (ADR-081 배포 3종). dispatch_jobs.deploy_type 물리컬럼. 예: 데이터셋 배포 / AI모델 배포 / 외부학습데이터 배포.,,,V,30,,,,,ADR-081
버전메모,VER_MEMO,"버전 메모. 버전(VER, gov 995)+메모(MEMO, gov 797). ai_model_versions.version_memo.",,,,,,,,,KLID-PT D006 ERD-004
버전번호,VERSION_NO,버전 일련 번호 (증가),,,N,10,,,,,KLID-저작도구 ERD-019
버전설명,VER_EXPLN,데이터셋 버전에 대한 설명. dataset_versions.version_description. (배포관리용 634 버전 설명과 별개·동일 약어),,,,,,,,,KLID-2 D004 ERD-010
버전해시,VERSION_HASH,LABEL_PAYLOAD 의 SHA-256(hex). 동일 스냅샷 멱등 식별,,,V,64,,,,,KLID-저작도구 ERD-019
버킷일시,BCKT_DT,시간 구간(bucket) 기준 일시. 시/일/월 단위 rollup 집계의 시간대 앵커,연월일시분초D,,,,,,,,KLID-2 자체 파생 (버킷+일시)
법정동명,BDONG_NM,"법정동명

[영문] BDONG Name",,,V,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
벤더코드,VENDOR_CD,외부 시스템 벤더 일반 구분 코드. 시스템별 세분 컬럼(SCRNG/VMS/MNTR/PLFM_VENDOR_CD)으로 분화되기 전 공통 명칭,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
변경사유,CHG_RSN,약관 개정 사유 텍스트(AC-107 개정이력 조회). 변경(gov:1021)+사유(gov:1234).,,,V,4000,,,,,KLID-PT D006 ERD-002 약관버전.변경사유
변경설명,CHG_EXPLN,"변경 내용 설명. 단어 조합: 변경(CHG, gov 1021) + 설명(EXPLN, gov 1345). json_change_history.change_description.",,,,,,,,,KLID-2 D004 ERD-010
변경유형,CHG_TYPE,"변경 종류(추가/수정/삭제 등). 단어 조합: 변경(CHG, gov 1021) + 유형(TYPE, gov 1943). json_change_history.change_type.",,,,,,,,,KLID-2 D004 ERD-010
변경일시,CHG_DT,"변경이 발생한 일시. 단어 조합: 변경(CHG, gov 1021) + 일시(DT, gov 2056). annotation_histories.changed_at.",,,,,,,,,KLID-PT D005 ERD-006
변경항목,CHG_ARTCL,"버전 간 변경된 항목 목록(JSON). 단어 조합: 변경(CHG, gov 1021) + 항목(ARTCL, gov 3127). dataset_versions.changed_items_json.",,,,,,,,,KLID-2 D004 ERD-010
보조포트,SCND_PORT,외부 시스템 보조(이중화) 접속 포트 번호,,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
본문형식,MTXT_FRM,본문 작성 형식(markdown/plain 등). faq·page_guides·notices body_format.,,,,,,,,,D006 ERD-014 정합
부가속성,EXTRA_ATRB,벤더별 추가 연결/설정 속성을 JSON 형식으로 저장. 어댑터마다 필요 필드가 다름을 흡수,,,V,4000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
비밀번호,PSWD,외부 시스템 접속 비밀번호 (암호화 저장). 연결 테이블 공통 컬럼,,,V,255,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
사내번호,USER_EXT_NO,"사용자의 사내번호

[영문] User Extension Number",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용건수,USE_NOCS,일일 AI 사용 건수(DFEAT-017). 사용(gov:1228)+건수(gov:168).,수N10,,,,,,,,KLID-PT D003 ERD-006
사용여부,USE_YN,"어떠한 일에 일정한 목적이나 기능에 맞게 사용했는지 여부

[영문] Use Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용일자,USE_YMD,"할당량 사용 날짜. 사용(USE, gov 1228)+일자(YMD, gov 2060). daily_quota_usages.usage_date.",,,,,,,,,KLID-PT D006 ERD-004
사용한도,USE_LIM,일일 AI 사용 한도(DFEAT-017 AC-041). 사용(gov:1228)+한도(gov:3100).,수N10,,,,,,,,KLID-PT D003 ERD-006
삭제일시,DEL_DT,soft delete 처리 일시 (faq.deleted_at).,,,,,,,,,D006 ERD-014 정합
상세내용,MEMO,"상세 내용

[영문] Detail Contents",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
상태코드,STTS_CD,상태 코드. 마킹: PENDING→VLM_REQUESTED→VLM_COMPLETED,,,V,16,,,,,KLID-저작도구 ERD-013
샘플버전,SAMPLE_VER,"샘플 버전. 단어 조합: 샘플(SAMPLE, program 566) + 버전(VER, gov 995). training_samples/dispatch_logs.sample_version.",,,,,,,,,KLID-2 D004 ERD-010
생년월일,BRDT,회원 생년월일(PASS 수신). 생년월일(gov:1305).,연월일C8,,,,,,,,KLID-PT D001 ERD-001 회원.생년월일
생성일자,CRT_DT,"사물이 생겨나게 한 날짜와 시각

[영문] Creation Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
서버상태,SRVR_STTS,"서버의 현재 운영 상태 정보를 나타냄

[영문] Server Status",,여부V1,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설정속도,STNG_SPD,"설정된 속도 값. 통신 또는 전송 설정에서 사용

[영문] Setting Speed",수N14,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치연도,INSTL_YR,"어떤 일을 하는 데 필요한 기관이나 설비 등을 베풀어 둔 연도

[영문] Install Year",,연도V4,,,YYYY : 0001~9999,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
소비일시,CNSM_DT,AI 작업에 소비된 시각(미소비 NULL). background_images.consumed_at,연월일시분초D,,,,,,,,KLID-2 D007 ERD-007
소속기관,OGDP_INST,회원이 소속된 기관명. 소속(gov:1407)+기관(gov:497).,,,V,100,,,,,KLID-PT D002 ERD-002 members.organization
속성정보,ATRB_INFO,"속성(Attribute)에 대한 상세한 설명 또는 부가 정보

[영문] Attribute Information",,JSONV4000,,,JSON,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
송신결과,SEND_RSLT,"송신 결과(성공/실패 등). 단어 조합: 송신(SEND, program 546) + 결과(RSLT, program 375). dispatch_logs.result.",,,,,,,,,KLID-2 D004 ERD-010
송신일시,SEND_DT,"데이터 송신 일시. 단어 조합: 송신(SEND, program 546) + 일시(DT, gov 2056). dispatch_logs.sent_at→sent_dt.",,,,,,,,,KLID-2 D004 ERD-010
수신건수,RCPTN_CNT,"수신된 통계 건수

[영문] Reception Count",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수신상태,RCPTN_STTS,"수신 상태를 나타내는 값

[영문] Reception Status",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수신일시,RCPTN_DT,"데이터 수신 일시. 단어 조합: 수신(RCPTN) + 일시(DT, gov 2056). json_change_history.received_at→received_dt, completion_queue.received_at→received_dt, dataset_versions.notified_at→notified_dt 등.",,,,,,,,,KLID-2 D004 ERD-010
수정일시,MDFCN_DT,"바로잡아 고친 날짜와 시각

[영문] Modification Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수정일자,MDFCN_YMD,"데이터를 수정한 날짜

[영문] Modification Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집건수,CLCT_CNT,"수집된 통계 건수

[영문] Collection Count",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집경로,CLCT_PATH,"데이터 또는 정보가 수집된 경로

[영문] Collection Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집방식,CLCT_MTH,"데이터 수집 방식 (CCTV/드론/블랙박스 등). 단어 조합: 수집(CLCT, gov 1513) + 방식(MTH, gov 961). datasets.source_type.",,,,,,,,,KLID-PT D001 ERD-001
수집시간,CLCT_HR,"취미나 연구를 위하여 물건, 재료, 정보 등을 찾아 모으는 데 걸리는 일정한 시간

[영문] Collection",시분초C6,,,,"HH : 00~23,  MI : 00~59,  SS : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집여부,CLCT_YN,"취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모았는지 여부

[영문] Collection Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집일시,CLCT_DT,메타 등록·수집 시각.,,,,,,,,,
수집출처,CLCT_SRC,"데이터를 수집한 출처

[영문] Collection Source",명V300,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
숨김일시,HIDE_DT,공지 '다시 보지 않음' 처리 일시 (notice_dismissals.dismissed_at).,,,,,,,,,D006 ERD-014 정합
승인건수,APRV_NOCS,승인된 영상 건수.,,,,,,,,,
승인모드,APRV_MODE,승인 시점 모드 도장 (auto/manual).,,,,,,,,,
승인일시,APRV_DT,"어떤 행위를 하도록 승낙이나 동의를 행한 날짜와 시각

[영문] Approval Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
승인일자,APRV_YMD,"어떤 행위를 하도록 승낙이나 동의를 행한 날짜

[영문] Approval Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시간버킷,TIME_BCKT,rollup 버킷 시작 시각 (분/시/일 단위 floor).,,,,,,,,,
시군구명,SGG_NM,"시군구 이름

[영문] Si gun gu Name",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시도일시,ATMPT_DT,"로그인 시도 일시. 시도(prog:185,ATMPT)+일시(gov:2056). 주의: gov 시도=CTPV(市道)와 동음이의어.",연월일시분초D,,,,,,,,KLID-PT D002 ERD-002 login_histories.attempted_at
시도코드,SIDO_CD,"시도 지역 코드

[영문] Si do Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시도횟수,ATMPT_NMTM,"인증 코드 입력 시도 횟수(5회 초과 시 만료). 시도(prog:185,ATMPT)+횟수(gov:3252).",수N10,,,,,,,,KLID-PT D002 ERD-002 verification_codes.attempt_count
시작시간,BGNG_HR,"시작 시간

[영문] Beginning Hour",,시분초T,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시작일시,STRT_DT,작업 시작 시각. meta_pulling 진입 시점 등.,,,,,,,,,
시행일시,ENFC_DT,약관 시행(효력 발생) 일시. 시행(gov:1584)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D002 ERD-002 terms_versions.effective_at
시행일자,ENFC_YMD,"약관/정책 시행 일자. 시행(ENFC, gov 1584)+일자(YMD, gov 2060). static_page_versions.effective_date.",,,,,,,,,KLID-PT D007 ERD-005
신고일시,REPORT_DT,신고 접수 일시,,,D,,,,,,KLID-저작도구 ERD-017
신규결정,NEW_DCSN,video_decision 변경 후 값 (감사용).,,,,,,,,,
실패사유,FAIL_REASON,"전송 실패 사유

[영문] Fail Reason",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
액션유형,ACTN_TYPE,"원격 액션의 유형. 단어 조합: 액션(ACTN, program 480) + 유형(TYPE, gov 1943). restart/reconfigure/policy_update 등.",명V80,,,,,,,,KLID-2 D001 ERD-005
약관버전,TRMS_VER,동의한 약관 버전 문자열(D006 DFEAT-049 연동). 약관(gov:1671)+버전(gov:995).,명V20,,,,,,,,KLID-PT D001 ERD-001 약관동의이력.약관버전
약관유형,TRMS_TYPE,약관 유형 코드(SERVICE_TERMS/PRIVACY_POLICY/MARKETING). 약관(gov:1671)+유형(gov:1943). Q6: KLID-BM '약관종류(TRMS_KND)'와 별개 — 유형 vs 종류.,,,V,30,,,,,KLID-PT D001 ERD-001 약관동의이력.약관유형
약관종류,TRMS_KND,약관 종류(terms_of_service/privacy_policy). 약관(gov:1671)+종류(gov:2423).,,,V,30,,,,,KLID-PT D002 ERD-002 terms_versions.type
에러건수,ERR_NOCS,"측정 구간 동안 발생한 에러의 개수. 단어 조합: 에러(ERR, program 464) + 건수(NOCS, gov 168). 측정 구간은 사용 컬럼에 따라 다름 (예: 5분).",수N10,,,,,,,,KLID-2 D001 ERD-005
역할설명,ROLE_EXPLN,사용자 역할에 대한 설명. 역할(gov 1719)+설명(내용).,내용V1000,,,,,,,,KLID 2차 D005 ERD-012 roles.description
역할코드,ROLE_CD,사용자 역할(권한 그룹)을 식별하는 코드. 역할(gov 1719)+코드(gov 2891).,코드C2,,,,,,,,KLID 2차 D005 ERD-012 roles.code
영상결정,VDO_DCSN,영상 검수 결정 5상태 (pending/usable_awaiting_body/usable/unusable/discarded). Q3-c=B로 검수 단어 미포함.,,,,,,,,,
영상길이,VDO_LEN,"영상의 전체 재생 시간

[영문] Video Length",시분초C6,,,,"HH : 00~23,  MI : 00~59,  SS : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
영상코덱,VDO_CDC,"영상 파일에서 사용된 코덱 정보

[영문] Video Codec",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
오류건수,ERR_NOCS,"그릇되어 이치에 맞지 않게 일어난 일의 건수 / 연산 처리 장치의 잘못된 동작이나 소프트웨어의 잘못으로 생기는 계산값과 참값의 오차 가짓수

[영문] Error Number Of Cases",수N10,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
오류출처,ERR_SRC,시스템 오류가 발생한 출처(모듈·서비스명 등),명V20,,,,,,,,KLID-2 자체 파생 (오류+출처)
오류코드,ERR_CD,실패 시 오류 코드,,,V,50,,,,,KLID-저작도구 ERD-017
오탐건수,FP_NOCS,오탐 카운트 (vlm_score < event_types.vlm_threshold).,,,,,,,,,
완료일시,CMPT_DT,"작업이 완료된 날짜와 시각

[영문] Complete Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
요청유형,DMND_TYPE,서비스 요청 유형 (service_requests.request_type).,,,,,,,,,D006 ERD-014 정합
요청일시,DMND_DT,"요청된 날짜와 시각

[영문] Demand Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
우선순위,OOP,"우선순위

[영문] Order Of Priority",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
우편번호,ZIP_NO,"우편번호

[영문] ZIP Number",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
운영상태,OPER_STTS,"시스템·중계서버의 현재 운영 상태. 단어 조합: 운영(OPER, gov 1860) + 상태(STTS, gov 1291). active/inactive/maintenance 등 상태값.",명V20,,,,,,,,KLID-2 D001 ERD-005
원본가로,ORGNL_W,원본 가로(px) — 첫 프레임 실측,,,N,10,,,,,KLID-저작도구 ERD-012
원본세로,ORGNL_H,원본 세로(px) — 첫 프레임 실측,,,N,10,,,,,KLID-저작도구 ERD-012
원본영상,ORGNL_VDO,"가공되지 않은 원본 영상 데이터

[영문] Original Video",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
원본응답,RAW_RESP,중계서버 응답 원본 (감사·디버깅용 jsonb).,,,,,,,,,
응답건수,RESP_NOCS,응답으로 반환된 레코드 건수.,,,N,10,,,,,
응답메모,RESP_NOTE,응답자 메모 (선택).,,,,,,,,,
응답일시,RESP_DT,외부 비식별 처리 결과(성공/실패) 확정 일시,,,D,,,,,,KLID-저작도구 ERD-017
응답코드,RESP_CD,HTTP 응답 상태 코드(200/401/403/429 등).,,,N,3,,,,,
이벤트명,EVNT_NM,"계획과 일정에 따라 많은 사람이 모이거나 참여하여 치르는 일의 이름

[영문] Event Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이슈내용,EVNT_FLTR_RLST,"서로 다투는 중심이 되는 점의 내용

[영문] Issue Content",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이슈상태,ISSUE_STTS_CD,이슈 상태머신 — OPEN→ANSWERED→RESOLVED. 역행 금지,,,V,20,,,,,KLID-저작도구 ERD-023
이전결정,PRV_DCSN,video_decision 변경 전 값 (감사용).,,,,,,,,,
인증결과,CERT_RSLT,PASS 본인인증 결과(SUCCESS/FAIL/TIMEOUT). 인증(gov:2037)+결과(gov:199).,,,V,20,,,,,KLID-PT D001 ERD-001 본인인증이력.인증결과
인증대상,CERT_TRGT,인증 코드를 보낼 대상(이메일 주소 또는 전화번호). 인증(gov:2037)+대상(gov:677).,,,V,100,,,,,KLID-PT D002 ERD-002 verification_codes.target
인증용도,CERT_USG,인증 코드의 용도(email_change). 인증(gov:2037)+용도(gov:1836).,,,V,20,,,,,KLID-PT D002 ERD-002 verification_codes.purpose
인증일시,CERT_DT,PASS 본인인증 완료 일시(EVT-003 발행 시점). 인증(gov:2037)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D001 ERD-001 본인인증이력.인증일시
인증채널,CERT_CHNL,인증 코드 발송 채널(email/sms). 인증(gov:2037)+채널(gov:2646).,,,V,10,,,,,KLID-PT D002 ERD-002 verification_codes.channel
인증코드,CERT_CD,이메일 변경 시 발송하는 인증 코드(6자리 또는 UUID). 인증(gov:2037)+코드(gov:2891).,,,V,255,,,,,KLID-PT D002 ERD-002 verification_codes.code
입력메타,INPT_META,"AI 호출 입력 메타정보 (JSONB). 입력(INPT, gov 2094)+메타(META, prog 322). ai_call_logs.input_meta.",,,,,,,,,KLID-PT D006 ERD-004
입력이름,INPUT_NM,"검색을 위해 입력받은 이름

[영문] Input Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작성일자,WRT_YMD,"서류, 원고 등을 만든 날짜

[영문] Writing Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작성자명,WRTR_NM,"서류, 원고 등을 만든 사람의 이름

[영문] Writer Name",명V100,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업경로,JOB_PATH,"작업할 경로

[영문] Job Path",,내용V255,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업상태,JOB_STTS,"작업 상태

[영문] Job Status",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업여부,JOB_YN,"일을 함 또는 그 일로 일정한 목적과 계획 아래 하는 일을 하였는지 아닌지 여부

[영문] Job Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업유형,JOB_TYPE,"작업에 대한 유형 값

[영문] Job Type",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업제목,JOB_TTL,"저작 작업 제목. 단어 조합: 작업(JOB, gov 2152) + 제목(TTL, gov 2363). authoring_tasks.title.",,,,,,,,,KLID-PT D005 ERD-006
잠금일시,LOCK_DT,잠금 설정 시각,,,D,,,,,,KLID-저작도구 ERD-020
재난참조,CLMTY_RFRNC,,,,,,,,,,D003 ERD-008 C그룹 (selective_collection_requests.disaster_ref)
저장경로,STRG_PATH,첨부파일 서버 저장 경로. 저장(gov:2238)+경로(gov:224).,,,V,500,,,,,KLID-PT D003 ERD-003 notice_attachments.stored_path
저장기간,STRG_PRD,"CCTV영상의 일단위 저장기간

[영문] Storage Period",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
